검사분류코드,검사분류명,검사항목코드,검사항목명,참고치,단위,기본검체,검체용기 이미지,검체용기,주의사항,시행일,접수마감시간,보고소요시간,검사방법,검사의의,비고,동의어,오더가능여부,시행여부
L25,분자유전학,L25434,"가족검사 CHARGE syndrome, CHD7 sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, Sequencing","1. 유전자: CHD7 [chromodomain helicase DNA binding protein 7; 8q12.2; GeneID 55636] 2. 분자진단검사: 환자에서 시행한 CHD7 sequencing 검사에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함. 3. 관련 질환: CHARGE syndrome",[2012.12.17] 신규검사등록,,예,시행중
L25,분자유전학,L25310,"가족검사 Citrin deficiency, SLC25A13 sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, Sequencing","1. 유전자: SLC25A13 [solute carrier family 25, member 13 (citrin); 7q21.3; GeneID: 10165] 2. 분자진단검사: 환자에서 시행한 SLC25A13 sequencing 검사에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함. 3. 관련 질환: Citrine deficiency (citrullinemia type II and neonatal intrahepatic cholestasis caused by citrin deficiency(NICCD))",,,예,시행중
L25,분자유전학,L25324,"가족검사 Citrullinemia type I, ASS1 sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, Sequencing","1. 유전자: ASS1 [argininosuccinate synthase 1; 9q34.1; GeneID: 445] 2. 분자진단검사: 환자에서 시행한ASS1 sequencing 검사에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함. 3. 관련 질환: Citrullinemia type I",[2010.5.18]신규등록,,예,시행중
L25,분자유전학,L25140,"가족검사 CMT, GJB1 sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, sequencing",". 유전자: GJB1 . DNA 검사: PCR, sequencing . 관련 질환: CMT . 배경, 의의: 환자에서 시행한 CMT, GJB1 sequencing 검사(L25119)에서 돌연변이가 발견된 경우 환자의 가족에서 그 돌연변이 유무를 검사함.",,,예,시행중
L25,분자유전학,L25139,"가족검사 CMT, MPZ sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, sequencing",". 유전자: MPZ . DNA 검사: PCR, sequencing . 관련 질환: CMT . 배경, 의의: 환자에서 시행한 CMT, MPZ sequencing 검사(L25118)에서 돌연변이가 발견된 경우 환자의 가족에서 그 돌연변이 유무를 검사함.",,,예,시행중
L25,분자유전학,L25138,"가족검사 CMT/HNPP, PMP22 sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, sequencing",". 유전자: PMP22 . DNA 검사: PCR, sequencing . 관련 질환: CMT, HNPP . 배경, 의의: 환자에서 시행한 CMT/HNPP, PMP22 sequencing 검사(L25117)에서 돌연변이가 발견된 경우 환자의 가족에서 그 돌연변이 유무를 검사함.",,,예,시행중
L25,분자유전학,L25327,"가족검사 CMT2, MFN2 sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, sequencing","1. 유전자: MFN2 [mitofusin 2; 1p36.22; GeneID: 9927] 2. 분자진단검사: 환자에서 시행한 MFN2 sequencing 검사에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함. 3. 관련 질환: Charcot-Marie-Tooth neuropathy type 2 (CMT2)",[2010.8.23]검사 신설,,예,시행중
L25,분자유전학,L25433,"가족검사 Congenital central hypoventilation syndrome (CCHS), PHOX2B sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, Sequencing","1. 유전자: PHOX2B [paired-loke homeobox 2b; 4p12; Gene ID 8929] 2. 분자진단검사: 환자에서 시행한 PHOX2B sequencing 검사에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함. 3. 관련 질환: Congenital central hypoventilation syndrome, Haddad syndrome",[2012.12.17] 신규검사등록,,예,시행중
L25,분자유전학,L25313,"가족검사 Congenital Insensitivity to Pain with Anhidrosis; HSAN Type IV, NTRK1 sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, Sequencing","1. 유전자: NTRK1 [neurotrophic tyrosine kinase, receptor, type 1, (also known as tyrosine kinase receptor A (TRKA); Gene ID 4914] 2. 분자진단검사: 환자에서 시행한 NTRK1 sequencing 검사에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함. 3. 관련 질환: Congenital Insensitivity to Pain with Anhidrosis; HSAN Type IV",,,예,시행중
L25,분자유전학,L25195,"가족검사 Corneal dystrophy, TGFBI sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, sequencing","1. 대상유전자: TGFBI [Transforming growth factor, beta-induced; 5q31; Gene ID 7045] 2. 분자진단검사: 상기 유전자의 exons 1-17 의 5'UTR, coding region 과 그 flanking region 의 염기서열을 검사함. 3. 관련 질환: Corneal dystrophy 4. 배경, 의의: 환자에서 시행한 Corneal dystrophy, TGFBI, sequencing 검사(L25177)에서 돌연변이가 발견 된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함.",,각막이영양증,예,시행중
L25,분자유전학,L25315,"가족검사 Cystic fibrosis, CFTR sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, Sequencing","1. 유전자: CFTR [cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7); GeneID 1080] 2. 분자진단검사: 환자에서 시행한 CFTR sequencing 검사에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함. 3. 관련 질환: cystic fibrosis",,,예,시행중
L25,분자유전학,L25132,"가족검사 Deafness, GJB2 sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, sequencing",". 유전자: GJB2 . DNA 검사: PCR, sequencing . 관련 질환: Deafness, GJB2 related disorders . 배경, 의의: 환자에서 시행한 Deafness, GJB2 sequencing 검사(L2597)에서 돌연변이가 발견된 경우 환자의 가족에서 그 돌연변이 유무를 검사함.",,,예,시행중
L25,분자유전학,L25303,가족검사 DMD sequencing,Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, Sequencing","1. 유전자: DMD [dystrophin (muscular dystrophy, Duchenne and Becker types); Xp21.2; GeneID: 1756] 2. 분자진단검사: 환자에서 시행한 DMD sequencing 검사에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함. 3. 관련 질환: Duchenne/Becker muscular dystrophy (DMD/BMD)",[2011.7.5]신규등록,,예,시행중
L25,분자유전학,L25190,"가족검사 Dopa-responsive dystonia, GCH1 sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, sequencing","1. 대상유전자: GCH1 [GTP cyclohydrolase 1 (Dopa-responsive dystonia), 14q22; GeneID 2643] 2. 분자진단검사: 상기 유전자의 exons 1-6의 5'UTR과 coding region 및 그 flanking region의 염기서열을 검사함. 3. 관련 질환: Dopa-responsive dystonia (DRD) 4. 배경, 의의: 환자에서 시행한 Dopa-responsive dystonia, GCH1, sequencing 검사(L25172)에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함.",,"parkinsonism, GTPCH1, levodopa; DRD; parkinsonism;도파반응성근긴장이상",예,시행중
L25,분자유전학,L25255,"가족검사 Early-onset familial Alzheimer disease, PSEN1 sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, sequencing","1. 유전자: PSEN1 [presenilin 1 (Alzheimer disease 3);14q24.3; GeneID: 5663] 2. 분자진단검사: proband 에서 시행한 PSEN1, sequencing, del/dup 검사에서 돌연변이가 발견된 경우, proband 의 가족에서 그 돌연변이의 유무를 검사함. 3. 관련 질환: Early-onset familial Alzheimer disease (EOFAD)",,,예,시행중
L25,분자유전학,L25293,"가족검사 Ehlers-Danlos syndrome type IV, COL3A1 sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, Sequencing","1. 유전자: COL3A1 [COL3A1 collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant); 2q31; GeneID: 1281] 2. 분자진단검사: proband에서 시행한 COL3A1, sequencing검사에서 돌연변이가 발견된 경우, proband의 가족에서 그 돌연변이의 유무를 검사함. 3. 관련 질환:?Ehlers-Danlos syndrome type IV, autosomal dominant.",[2010.11.24]신규등록,,예,시행중
L25,분자유전학,L25380,"가족검사 ELANE-related neutropenia, ELANE (ELA2) sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, Sequencing","1. 유전자: ELANE [elastase, neutrophil expressed; 19p13.3; Gene ID 1991] 2. 분자진단검사: 환자에서 시행한 ELANE sequencing 검사에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함. 3. 관련 질환: ELANE-related neutropenia, Cyclic neutropenia, Severe congenital neutropenia",[2011.4.26]신규등록,,예,시행중
L25,분자유전학,L25346,"가족검사 Familial adenomatous polyposis, APC sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, Sequencing","1. 유전자: APC [adenomatous polyposis coli; 5q21; Gene ID 324] 2. 분자진단검사: 환자에서 시행한 APC sequencing 검사에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함. 3. 관련 질환: Familial adenomatous polyposis",[2011.1.5]신규등록,,예,시행중
L25,분자유전학,L25244,"가족검사 Familial hemiplegic migraine, episodic ataxia type 2, CACNA1A sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, sequencing","1. 유전자: CACNA1A [calcium channel, voltage-dependent, P/Q type, alpha 1A subunit; 19p13.2-p13.1; GeneID 773] 2. 분자진단검사: proband 에서 시행한 CACNA1A, sequencing 검사에서 돌연변이가 발견된 경우, proband 의 가족에서 그 돌연변이의 유무를 검사함. 3. 관련 질환: Familial hemiplegic migraine (FHM), CACNA1A-Related Episodic Ataxia Type 2 (EA2)",,,예,시행중
L25,분자유전학,L25414,"가족검사 Familial hemophagocytic lymphohistiocytosis, PRF1 sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, Sequencing","1. 유전자: PRF1 [perforin 1 (pore forming protein); 10q22; GeneID 5551] 2. 분자진단검사: 환자에서 시행한 PRF1 sequencing 검사에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함. 3. 관련 질환: Familial hemophagocytic lymphohistiocytosis",[2012.6.8]신규등록,,예,시행중
L25,분자유전학,L25415,"가족검사 Familial hemophagocytic lymphohistiocytosis, UNC13D sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, Sequencing","1. 유전자: UNC13D [unc-13 homolog D; 17q25.1; GeneID 201294] 2. 분자진단검사: 환자에서 시행한 UNC13D sequencing 검사에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함. 3. 관련 질환: Familial hemophagocytic lymphohistiocytosis",[2012.6.8]신규등록,,예,시행중
L25,분자유전학,L25291,"가족검사 Familial Hypokalemic periodic paralysis, SCN4A sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, Sequencing","1. 유전자: SCN4A [SCN4A sodium channel, voltage-gated, type IV, alpha subunit (autosomal dominant); 17q23-q25.3; GeneID: 6329] 2. 분자진단검사: proband에서 시행한 Familial Hypokalemic periodic paralysis, SCN4A, sequencing검사에서 돌연변이가 발견된 경우, proband의 가족에서 그 돌연변이의 유무를 검사함. 3. 관련 질환:?Familial Hypokalemic periodic paralysis",,,예,시행중
L25,분자유전학,L25403,"가족검사 Familial transthyretin amyloidosis, TTR sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주,"PCR, Sequencing","1. 유전자: TTR [transthyretin; 18q21.1; GeneID: 7276] 2. 분자진단검사: 환자에서 시행한 TTR sequencing 검사에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함. 3. 관련 질환: Familial TTR amyloidosis",[2012.5.9]신규등록,가족성 아밀로이드 다발신경병증,예,시행중
L25,분자유전학,L25431,"가족검사 Fanconi anemia, FANCA sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, Sequencing","1. 유전자: FANCA [Fanconi anemia, complementation group A; 16q24.3; GeneID:2175] 2. 분자진단검사: 환자에서 시행한 FANCA sequencing 검사에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함. 3. 관련 질환: Fanconi Anemia",[2012.12.17] 신규검사등록,,예,시행중
L25,분자유전학,L25298,가족검사 FGFR1 sequencing,Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, sequencing","1. 유전자: FGFR1 [fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome) (autosomal dominant); 8p11.2-p11.1; GeneID: 2260] 2. 분자진단검사: 환자에서 시행한 FGFR1 sequencing 검사에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함. 3. 관련 질환: Pfeiffer syndrome type 1",[2009.10.9]검사 신설,,예,시행중
L25,분자유전학,L25299,가족검사 FGFR2 sequencing,Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, Sequencing","1. 유전자: FGFR2 [fibroblast growth factor receptor 2 (autosomal dominant); 10q26; GeneID: 2263] 2. 분자진단검사: 환자에서 시행한 FGFR2 sequencing 검사에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함. 3. 관련 질환: Apert syndrome, Beare-Stevenson syndrome,Crouzon syndrome, Jackson-Weiss syndrome, Pfeiffer syndrome type 1,2,3",,,예,시행중
L25,분자유전학,L25300,가족검사 FGFR3 sequencing,Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, Sequencing","1. 유전자: FGFR3 [fibroblast growth factor receptor 3 (autosomal dominant); 4p16.4; GeneID: 2261] 2. 분자진단검사: 환자에서 시행한 FGFR3 sequencing 검사에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함. 3. 관련 질환: hypochondroplasia와 Muenke syndrome, Thanatophoric dysplasia",,,예,시행중
L25,분자유전학,L25301,"가족검사 FOP,ACVR1 sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, Sequencing","1. 유전자: ACVR1 [activin A receptor, type I (autosomal dominant); 2q23-q24; GeneID: 90] 2. 분자진단검사: 환자에서 시행한 ACVR1 sequencing 검사에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함. 3. 관련 질환: Fibrodysplasia ossificans progressiva(FOP)",[2011.10.7] 신규등록,,예,시행중
